,Product_Brand,Product_Gender,Shoe_Name,Item_ID,Price,Link
0,CONVERSE,Baby and Toddlers,                                                            Converse                                                        Chuck Taylor All Star Sherpa Bear Easy-On                            Baby and Toddlers                                                    , a10040c,49.99,https://www.softmoc.com/ca/i/converse/baby-and-toddlers/sneakers-and-athletic/infs-chuck-taylor-all-star-sherpa-bear-easy--on-sneaker--warm-quarryegretwarm-quarry/a10040c
2,CONVERSE,Unisex,                                                            Converse                                                        Chuck Taylor All Star Eva Lift                            Unisex                                                    , a0929ic,64.99,https://www.softmoc.com/ca/i/converse/unisex/sneakers-and-athletic/kds-chuck-taylor-all-star-eva-lift-hi-top-platform-sneaker--green-envywhitenatural-ivory/a0929ic
3,SOFTMOC,Girls',                                                            SoftMoc                                                        Selena                            Girls                                                    , selena-blk,99.99,https://www.softmoc.com/ca/i/softmoc/girls/boots/grls-selena-waterproof-winter-boot--black/selenablk
5,KAMIK,Unisex,                                                            Kamik                                                        Bouncer 2                            Unisex                                                    , bouncer2-cha,119.99,https://www.softmoc.com/ca/i/kamik/unisex/boots/kds-bouncer-2-waterproof-winter-boot--charcoal/bouncer2cha
6,KAMIK,Unisex,                                                            Kamik                                                        Stormy F                            Unisex                                                    , stormy-f-lgy,99.99,https://www.softmoc.com/ca/i/kamik/unisex/boots/kds-stormy-f-waterproof-winter-boot--light-grey/stormyflgy
7,KAMIK,Girls',                                                            Kamik                                                        Waterbug 5                            Girls                                                    , waterbug5-lnp,79.99,https://www.softmoc.com/ca/i/kamik/girls/boots/kds-waterbug-5-waterproof-winter-boot--light-navypurple/waterbug5lnp
8,KAMIK,Baby and Toddlers,                                                            Kamik                                                        Snowbug 5                            Baby and Toddlers                                                    , snowbug5-pai,54.99,https://www.softmoc.com/ca/i/kamik/baby-and-toddlers/boots/infs-snowbug-5-waterproof-winter-boot--pasley-purple/snowbug5pai
10,KAMIK,Baby and Toddlers,                                                            Kamik                                                        Snowbug 6                            Baby and Toddlers                                                    , snowbug6-bna,54.99,https://www.softmoc.com/ca/i/kamik/baby-and-toddlers/boots/infs-snowbug-6-waterproof-winter-boot--bluenavy/snowbug6bna
12,SOREL,Girls',                                                            Sorel                                                        Flurry                            Girls                                                    , 2114081-2-562,89.99,https://www.softmoc.com/ca/i/sorel/girls/boots/grls-flurry-pull-on-winter-boot--purple-dahliapaisley/21140812562
15,KAMIK,Boys',                                                            Kamik                                                        Snowfall P 2                            Boys                                                    , snowfallp2-cbl,89.99,https://www.softmoc.com/ca/i/kamik/boys/boots/bys-snowfall-p-2-waterproof-winter-boot--charcoalblue/snowfallp2cbl
16,KAMIK,Boys',                                                            Kamik                                                        Snobuster 3                            Boys                                                    , snobuster3-bkk,74.99,https://www.softmoc.com/ca/i/kamik/boys/boots/bys-snobuster-3-waterproof-winter-boot--black/snobuster3bkk
17,SOREL,Boys',                                                            Sorel                                                        Flurry                            Boys                                                    , 2114081-2-016,89.99,https://www.softmoc.com/ca/i/sorel/boys/boots/bys-flurry-pull-on-winter-boot--blackcity-grey/21140812016
18,SOREL,Girls',                                                            Sorel                                                        Out N About IV Classic                            Girls                                                    , 2102201-243,99.99,https://www.softmoc.com/ca/i/sorel/girls/boots/grls-out-n-about-iv-classic-waterproof-boot--taffyblack/2102201243
22,BOGS,Boys',                                                            Bogs                                                        Snow Shell Camo Texture                            Boys                                                    , 73224-062,79.99,https://www.softmoc.com/ca/i/bogs/boys/boots/bys-snow-shell-camo-texture-waterproof-winter-boot--graymulti/73224062
