,Product_Brand,Shoe_Name,Item_ID,Price,Product_Details,Link
0,CONVERSE,                                                            Converse                                                        CTAS High Street Mid                            Men                                                    , a11651c,84.99,"Get Just enough edge with the modern updates the Chuch Taylor All Star High Street  sneaker from Converse that gives a little more attitude. The iconic mid-top design gets an added dose of texture with split-top canavs  and leather upper, plus a padded collar and tongue. Inner elastic tongue for secure fit. The cushioned OrthoLite insole takes comfort to the next level for wherever the day takes you.                          Features & Benefits                         Durable canvas upper and leather upper for comfortPadded tongue & collarLace-up closure with metal eyeletsSignature Chuck Taylor All Star rubber toeRubber outsole with custom Diamond tread pattern for traction                               Design Elements                         Rubber SoleContoured FootbedCanvas UpperLaceLeather & SyntheticPadded Collar",https://www.softmoc.com/ca/i/converse/mens/sneakers-and-athletic/mns-chuck-taylor-all-star-high-street-mid-sneaker--vintage-cargotrufflewhite/a11651c
1,SALOMON,                                                            Salomon                                                        Sense Ride 5 GTX                            Men                                                    , l47312800,189.99,"The Sense Ride 5 GTX is a versatile waterproof trail shoe from Salomon. The Sense Ride 5 GORE-TEX is in its element on short, fast trail runs or ultra distances. A super comfortable overachiever that adapts to a variety of terrains, with a balanced midsole for cushioning, response and an engineered mesh upper with Sensifit for just the right amount of comfortable hold.                          Features & Benefits                         Lightweight, flexible engineered mesh upper with Sensifit for just the right amount of comfortable holdEnergy foam midsole gives just the right balance of plush cushioning and adapted responseGORE-TEX features an innovative ePE membraneRubber outsole with lugs are 3.5 millimeters in depth                               Design Elements                         WaterproofRubber SoleMesh",https://www.softmoc.com/ca/i/salomon/mens/sneakers-and-athletic/mns-sense-ride-5-gtx-waterproof-performance-sneaker--flintblackgrey/l47312800
2,UGG,                                                            UGG                                                        Cason                            Men                                                    , 1159790-blk,269.99,"Sometimes, you actually can judge a book by its cover, and the Cason waterproof boot from UGG Australia is one of those times, with its timeless aesthetic that seamlessly transitions from day to night, season to season. The interior is lined with soft UGGplush, and the exterior is made with premium, full-grain leather. Designed with Spider Rubber traction pods, waterproof features, and a gusseted tongue, you can expect to thrive in the unexpected with the Cason.                          Features & Benefits                         Waterproof leatherSeam-sealed constructionGusseted tongue with water repellent fibersMetal eyeletsRecycled polyester laces10mm UGGplush 60% upcycled wool, 40% lyocell lining10mm curly UGGplush 60% upcycled wool, 40% TENCEL Lyocell socklinerPU foam footbed incorporates 25% of Susterra plant-based compound and 75% PU from pretroleumSugarcane EVA midsoleWhite Spider Rubber traction pods",https://www.softmoc.com/ca/i/ugg/mens/boots/mns-cason-waterproof-casual-boot--black/1159790blk
4,SOREL,                                                            Sorel                                                        Scout 87 XT                            Men                                                    , 2083021-256,219.99,"Inspired by outdoor sports, the Scout 87' XT tobacco/ black waterptoof boot from Sorel offers a rugged tread and lightweight design. Perfect for any adventure. Removable molded EVA footbed with fleece topcover with a lightweight molded Livelyfoam midsole. Waxed suede and PU leather upper with functioning gator with bungee closure.Please note: Laces and zippers incorporated in SOREL footwear are not waterproof..                          Features & Benefits                         Waxed suede and PU leatherFunctioning gator with bungee closureMetal D-ring lace loopsScratch rubber heelRemovable molded EVA footbed with fleece topcoverWaterproof construction200g insulationLightweight molded Livelyfoam midsole EVERTREAD rubber outsolePlease note: Laces and zippers incorporated in SOREL footwear are not waterproof                               Design Elements                         WaterproofInsulatedRubber SoleRemovable Footbed",https://www.softmoc.com/ca/i/sorel/mens/boots/mns-scout-87-xt-waterproof-boot--tobaccoblack/2083021256
6,SOREL,                                                            Sorel                                                        Mac Hill Lite Mid Plus                            Men                                                    , 2084821-286,199.99,"Stylish, functional, and durable, the Mac Hill Lite Mid Plus waterproof boot from Sorel is constructed with full-grain leather and waterproof seam-sealed design to keep your feet dry in any conditions. Molded footbed and textile lining provide enhanced comfort, while LIVELYFOAM midsole ensures all-day support. Durable EVERTREAD PODS add traction for trekking around the city.                          Features & Benefits                         Waterproof full grain leather with suede leather trimTextile liningSeam-sealed waterproof constructionLaces are not waterproofRemovable molded EVA footbed with textile topcoverLightweight molded LivelyfoamEvertread rubber pods with ground contact EVA                               Design Elements                         LeatherWaterproofEVA MidsoleLaceTextile Lining",https://www.softmoc.com/ca/i/sorel/mens/boots/mns-mac-hill-lite-mid-plus-waterproof-boot--elkblack/2084821286
7,B&B BY SOFTMOC,                                                            B&B By SoftMoc                                                        Bennett                            Men                                                    , bennett-cgnc,159.99,Walk in the Bennett cognac lace up ankle boots from B&B by SoftMoc to feel and look good all day. Featuring a genuine leather upper with stitch detailing. Lace up closure for a secure fit. Breathable textile lining surrounds the foot. Lightly cushioned insole for all day comfort. Durable rubber tread outsole.                          Features & Benefits                         Genuine leather upperBreathable textile liningLace up closureLightly cushioned InsoleDurable rubber outsole                               Design Elements                         LeatherRubber SoleContoured FootbedLaceTextile Lining,https://www.softmoc.com/ca/i/bb-premium/mens/boots/mns-bennett-leather-lace-up-ankle-boot--cognac/bennettcgnc
9,SOREL,                                                            Sorel                                                        Scout 87 Lux                            Men                                                    , 2078371-263,229.99,Stay cozy with the Scout 87' Lux caribou buff/ black waterproof boot from Sorel. Featuring a leather upper with a suede tongue and metal D-ring laces for quick adjustments. Faux shearling collar lining and fleece internal lining. Removable molded EVA footbed with fleece topcover. Lightweight molded Livelyfoam midsole. the Scout 87 Lux is designed with an Evertread rubber outsole. Please note: Laces and zippers incorporated in SOREL footwear are not waterproof.                          Features & Benefits                         Leather upper with suede tongueMetal D-ring lace loopsScratch rubber heelFaux shearling collar lining and fleece internal liningWaterproof construction200g insulationRemovable molded EVA footbed with fleece topcoverLightweight molded Livelyfoam midsoleEVERTREAD rubber outsolePlease note: Laces and zippers incorporated in SOREL footwear are not waterproof                               Design Elements                         LeatherWaterproofInsulatedRubber SoleFleeceRemovable FootbedFaux Shearling,https://www.softmoc.com/ca/i/sorel/mens/boots/mns-scout-87-lux-waterproof-boot--caribou-buffblack/2078371263
11,TIMBERLAND,                                                            Timberland                                                        Redwood Falls                            Men                                                    , tb0a41m7w05,179.99,"The Redwood Falls black waterproof boot from Timberland  are waterproof and feature an OrthoLite footbed, the superior traction of our patented L7 multi-directional lug design, and a ReBOTL fabric lining containing at least 50% recycled plastic. TimberDry waterproof membrane. Timberland's patented L7 lug design features multi-directional leading edges with beveled lug sidewalls.                          Features & Benefits                         Upper made with waterproof premium Timberland leatherWe are a member of the Leather Working GroupOrthoLite footbedTimberDry waterproof membraneGripstick rubber outsoleTimberDry waterproof membraneTimberland's patented L7 lug design features multi-directional leading edges with beveled lug sidewalls                               Design Elements                         LeatherWaterproofLace",https://www.softmoc.com/ca/i/timberland/mens/boots/mns-redwood-falls-waterproof-lace-up-boot--black/tb0a41m7w05
12,COLUMBIA,                                                            Columbia                                                        Firecamp Boot                            Men                                                    , 2099741-012,149.99,The Firecamp Omni Tech black/city grey waterproof boot from Columbia is perfect for explorers on the go! Featuring a durable textile upper with Omni-Tech waterproof breathable seam-sealed membrane bootie construction. Lace up design for a secure fit. Tech lite lightweight midsole for long lasting comfort. The Firecamp Omni Tech boot is designed with an Omni-Grip non-marking traction rubber outsole.                          Features & Benefits                         Durable textile upperOmni-Tech waterproof breathable seam-sealed membrane bootie constructionLace up constructionTech lite lightweight midsole for long lasting comfortOmni-Grip non-marking traction rubber                               Design Elements                         WaterproofRubber SoleLaceNon Marking SoleTractionTextile Upper,https://www.softmoc.com/ca/i/columbia/mens/boots/mns-firecamp-omnitech-waterproof-boot--blackcity-grey/2099741012
14,TIMBERLAND,                                                            Timberland                                                        Maple Grove Sport Mid                            Men                                                    , tb0a2djq001,139.99,"Experience rugged, trail-worthy performance with the Maple Grove Sport mid-hiker from Timberland. It features a lining with ReBOTL fabric material containing at least 50% recycled plastic, a rubber midsole, and rubber outsole for help with traction. By purchasing this product, you are supporting the responsible manufacturing of leather through the Leather Working Group.                          Features & Benefits                         Timberland is a member of the Leather Working GroupUpper made with premium Timberland leather leatherRubber midsole100% PET lacesReBOTL fabric lining containing at least 50% recycled plasticRubber outsole                               Design Elements                         LeatherRubber SoleLaceRecycled Materials",https://www.softmoc.com/ca/i/timberland/mens/boots/mns-maple-grove-sport-mid-casual-boot--black/tb0a2djq001
