name,price,description,link
walk ultra 7 dmx max men's shoes,89.99,"Get the feeling of walking on air. These men's shoes are built with cushioning that moves air from your heel to your toe and back again as you walk. They have a leather and textile upper for a supportive fit., ['Style:', '100000466', 'Gender:', 'Men\n', 'Rubber outsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-walk-ultra-7-dmx-max-mens-shoes-blk-cold-gry-5-collegiate-roya
club c revenge shoes,99.99,"Turn up the volume on your OG collegiate look. A fresh heritage gives these men's Reebok shoes a standout look. Retro colorways keep your style legit, and premium details like a supple full grain leather upper create a luxe vibe. The off-color midsole adds an archival feel., ['Style:', '100075005', 'Gender:', 'Men\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-club-c-revenge-shoes-chalk-flasrd-black
club c 85 shoes,89.99,"Discover the timeless appeal of the Club C 85 Shoes, featuring a full suede upper with a matching midsole for a seamless look. The iconic gum outsole adds a classic touch, while the white logos ensure consistent branding, blending heritage style with modern flair., ['Style:', '100074449', 'Gender:', 'Men\n', 'Rubber outsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-club-c-85-shoes-cblack-ftwwht-rbkle3
market classic leather pump shoes,149.99,"If you can dream it, you can build it. These Reebok Classic Leather Pump Shoes are like a master class in mixing. Colors and technology from the '90s Instapump combine with the clean design of the Classic Leather for a style that just won't quit. Need we say more?, ['Style:', '100069829', 'Gender:', 'Men\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-market-classic-leather-pump-shoes-clabur-cogold-chalk
classic leather 2400 shoes,89.99,"Extra comfortable and extra luxe, these Classic Leather 2400 shoes give you all the things. A master mix of leather and suede makes the upper premium. Hits of reflective details level up your Reebok look. The sculpted midsole finishes things off nicely and feels as good as it looks., ['Style:', '100201039', 'Gender:', 'Unisex\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : textile and       suede\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-classic-leather-2400-shoes-dark-matter-grey-5-grey-6
classic leather 2400 shoes,89.99,"Extra comfortable and extra luxe, these Classic Leather 2400 shoes give you all the things. A master mix of leather and suede makes the upper premium. Hits of reflective details level up your Reebok look. The sculpted midsole finishes things off nicely and feels as good as it looks., ['Style:', '100201038', 'Gender:', 'Unisex\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : suede and leather\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-classic-leather-2400-shoes-vintage-chalk-chalk-alabaster
floatzig 1 shoes,129.99,"Why choose between soft and springy? Fast and smooth? Meet the new shape of running, the high energy return FloatZig 1. Designed to inspire everyone to lace up and get outside, these men's Reebok running shoes are built with premium lightweight foam technology in a geometry that enhances cushioning, energy return and a smooth transition to give a unique underfoot experience., ['Style:', '100206725', 'Gender:', 'Men\n', 'Floatride energy foam\n', 'Rubber outsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-floatzig-1-shoes-black-dark-matter-grey-6
classic nylon,110.00,"No matter where the day takes you next, these men's Reebok shoes are the perfect companion to get you there in style. True to their 1991 roots, they have a smooth nylon upper with buttery-soft suede overlays for a confident design you can mix or match with anything in your wardrobe., ['Style:', '100009273', 'Gender:', 'Men\n', 'Eva midsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-classic-nylon-cblack-ftwwht-ftwwht
phase court shoes,79.99,"Neutral shades make these Reebok Phase Court shoes infinitely easy to wear. But their clean, minimalist color isn't where this story ends. The upper goes luxe with full leather and a suede toe cap that adds texture. A special tongue label borrows from the '90s and 2000s vaults and is inspired by jerseys worn in competition., ['Style:', '100201247', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : suede and leather\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-phase-court-shoes-white-white-darkgreen
club c 85 shoes,89.99,"These Club C 85 shoes only get better with age. As if they've already lived several lives, they have subtle hits of cracked leather. Savor the details from leather and suede on the upper to an open foam tongue. Logos to linings, these sneakers give you the OG Reebok goods., ['Style:', '100201118', 'Gender:', 'Unisex\n', 'Leather upper\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-club-c-85-shoes-white-white-chalk
phase court shoes,79.99,"Neutral shades make these Reebok Phase Court shoes infinitely easy to wear. But their clean, minimalist color isn't where this story ends. The upper goes luxe with full leather and a suede toe cap that adds texture. A special tongue label borrows from the '90s and 2000s vaults and is inspired by jerseys worn in competition., ['Style:', '100201249', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : suede and leather\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-phase-court-shoes-chalk-vintagechalk-richmaroon
nano x4 training shoes,99.99,"The Nano X4 Training Shoes are one of the lightest and most breathable Nano iterations yet. These Reebok training shoes are crafted with enhanced stability and support, without excess design features that add weight. The updated Flexweave woven textile upper is ultralight and a new midfoot ventilation panel allows greater air flow. Ultimate stability comes from the innovative Lift and Run Chassis system, while Floatride Energy Foam cushions every stride., ['Style:', '100074684', 'Gender:', 'Men\n', 'Rubber outsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-nano-x4-training-shoes-black-ftwwht-orgfla
phase court shoes,79.99,"Serve up retro court style. These low-cut Reebok shoes are inspired by late 80s Reebok tennis style. This modern-day version features a leather and suede upper. The outsole adds to the authentic vibe., ['Style:', '100074467', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n', 'Upper : suede and leather\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-phase-court-shoes-ftwwht-chalk-vecnav
premier road plus vi shoes,99.99,"Like the futuristic styles of the '00s, these Reebok shoes take things into another dimension. All the dimensions. A TPU bridge and DMX foam cushioning make these kicks look 3-D and feel extra plush. A mix of textures on the upper creates a layered look., ['Style:', '100201155', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-premier-road-plus-vi-shoes-mahogany-rich-maroon-chalk
classic leather shoes - preschool,59.99,"Never let them go out of style. These boys' shoes feature a soft leather upper that keeps feet comfortable. The die-cut EVA midsole provides lightweight cushioning on the playground, at school or at home., ['Style:', '100000166', 'Gender:', 'Boys\n', 'Rubber outsole\n']",https://reebok.ca/collections/kids-boys/products/reebok-footwear-kids-classic-leather-shoes-preschool-white-gum
hammer street shoes,120.00,"Imagine you're on the pitch in the '90s when you lace up these Reebok Hammer Street shoes. We went deep into our back indoor soccer catalog to create these. The premium suede upper has a T-toe design never seen anywhere else on Reebok sneakers. The colors are inspired by archive soccer kits. The gum rubber outsole has textures from the original. Score., ['Style:', '100202338', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Upper : suede leather\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-hammer-street-shoes-collegiategreen-white-gum
the answer dmx,179.99,"A true OG is back. On the heels of a Rookie of the Year campaign, Allen Iverson returned for his second season wearing The Answer DMX the natural successor to The Question. These Reebok shoes are done up in a glossy navy upper while retaining the gold touches that made them fit for a king of the court., ['Style:', 'HR1061', 'Gender:', 'Unisex\n', 'Lace closure\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-the-answer-dmx-conavy-ftwwht-rbkbra
reebok court advance shoes,79.99,"All the Reebok court style you love. These women's shoes mash up the Club C 85 and Club C Revenge to make the Court Advance. So comfortable with foam and DMX Microbubbles, you may want to wear them always. Available in multiple designs, so you can pick one to match your personality., ['Style:', '100074320', 'Gender:', 'Women\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-reebok-court-advance-shoes-chalk-pinstu-utibro
nanoflex tr 2.0 training shoes,79.99,"From jump-rope drills to kettlebell sets, your workouts are intense. Count on these women's Reebok training shoes to support you from the dynamic warmup to the post-workout sweat angel. The breathable mesh upper is reinforced with durable overlays for a sporty look and lightweight feel while a heel clip adds stability. The high-traction outsole offers enhanced grip., ['Style:', '100074545', 'Gender:', 'Women\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-nanoflex-tr-2-0-training-shoes-ftwwht-cblack-orgfla
reebok court advance clip shoes,79.99,"Whatever your tailgate uniform is, these women's Reebok Court Advance Clip shoes are here for it. The heel tab gets a hit of perforated details and a collegiate script logo with a vintage terry vector decorates the tongue label., ['Style:', '100202609', 'Gender:', 'Women\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-reebok-court-advance-clip-shoes-white-brickred-black
bb 4000 ii shoes,79.99,"Born on the hardwood. Remade for you. Rock those OG B-ball vibes every time you lace up these basketball-inspired shoes. A supple leather upper elevates your look. Retro details shine, including a debossed logo and TPU details. So clean. So fresh. All Reebok, all day., ['Style:', '100033316', 'Gender:', 'Unisex\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-bb-4000-ii-shoes-ftwr-white-core-black-pure-gre
reebok glide shoes,79.99,"Add a fresh look to your outfit when you lace up a pair of Reebok Glides. These women's shoes take design cues from the Classic Leather through a simple and minimalist approach. Wear them with jeans, leggings or a dress as you glide through the day., ['Style:', '100005920', 'Gender:', 'Women\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-reebok-glide-shoes-cblack-purgry-cblack
reebok court advance shoes,69.99,"Wear these Reebok shoes on game day or any day. Inspired by the team traditions of fans around the world, these kicks show up in colors that celebrate sports competitions. The mesh tongue and logo on the tongue take inspiration details from authentic game day jerseys. Embroidery details set off the Reebok side stripes. Comfortable and classic, they're about to be your new go-to pair., ['Style:', '100202579', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-court-advance-shoes-white-black-vectorred
reebok premier road plus vi shoes,99.99,"Tap into the ebb and flow of city streets in these women's Reebok Premier Road Plus VI Shoes. Synthetic overlays on the textile upper crawl in sinuous lines to create a fluid design. The DMX foam midsole lets you glide forward in cushioned comfort, supported by the two-piece rubber outsole., ['Style:', '100201154', 'Gender:', 'Women\n', 'Dmx foam midsole\n', 'Rubber outsole\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-women-reebok-premier-road-plus-vi-shoes-barely-grey-barely-grey-moon
premier road plus vi shoes,99.99,"Put your best foot forward in these running-inspired Reebok shoes from 2009. They've been reimagined for everyday wear, with new colors and a soft DMX foam midsole to keep you comfortable. A shank plate in the midfoot provides lightweight support and stability., ['Style:', '100204576', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-rbk-premier-road-plus-vi-shoes-chalk-barely-grey-white
reebok royal bb4500 hi2 basketball shoes,79.99,"Lace up a true Reebok original when you wear these Royal BB 4500 basketball shoes. They look like you've just discovered them with the perfect patina of wear. Cracked details and an archive '80s Reebok Sport tag make them worn to perfection straight from the box., ['Style:', '100201314', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-reebok-royal-bb4500-hi2-basketball-shoes-white-black-barelygrey
club c revenge shoes,99.99,"We went deep into our archives to create these Club C Revenge shoes. A special tongue label borrows straight from the '90s and 2000s vaults and is inspired by jerseys worn during competition. The colors remind you that whichever sport you're cheering for, you're always on team Reebok., ['Style:', '100201095', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Terry lining\n']",https://reebok.ca/collections/womens-shoes/products/reebok-footwear-men-club-c-revenge-shoes-white-fiercegold-clgtgreen
