,Product_Brand,Shoe_Name,Item_ID,Price,Product_Details,Link
0,FRYE,                                                            Frye                                                        Kate Pull On                            Women                                                    , fr40818-blac,627.99,"Intricate woodstock stitching detail gives the Kate Pull On Riding Boot from Frye an artisanal flair that comes to life on Frye's signature leathers. The Kate Pull On has a softer silhouette with its rounded toe and paired with a cushioned footbed and rubber outsole, the versatile 2-inch block heel is easy to walk in, while providing a flattering lift to any look. Pair with above-the-knee skirts or with straight-leg denim for year-round wear.                          Features & Benefits                         Leather upperRound toeCushioned footbedWoodstock stitching detailCircumference: 15 inchesShaft Height: 14 inchesRubber outsole2-inch block heel                               Design Elements                         LeatherRubber SoleContoured Footbed",https://www.softmoc.com/ca/i/frye/womens/boots/lds-kate-pull-on-leather-riding-boot--black/fr40818blac
1,FRYE,                                                            Frye                                                        Campus Chelsea                            Women                                                    , fr41451-bana,567.99,"The Campus Chelsea  boot from Frye delivers the same iconic appeal in a versatile, ankle-high design. Featuring Goodwear welt construction, these boots exude an authentic, rustic charm with a chunky block heel that provides a cushioned base. Whether paired with your favorite flair jeans or a breezy boho maxi dress, embrace the best of both worlds with the Campus Chelsea - effortless style and all-day wearability.                          Features & Benefits                         Leather upperGood year welt constructionStitching detailsHeel pull loopRound toe silhouetteShaft Height: 10 inchesHeel Height: 1 3/4 in                               Design Elements                         LeatherWelt",https://www.softmoc.com/ca/i/frye/womens/boots/lds-campus-chelsea-leather-boot--banana/fr41451bana
2,CONVERSE,                                                            Converse                                                        Chuck Taylor All Star XX-Hi                            Women                                                    , a10456c-l,119.99,Take your look to the next level with the ultra-high Chuck Taylor All Star XX-Hi Top sneaker from Converse. Durable canvas upper for that classic Chucks look and feel.  Don't let the laces fool you—a zipper at the back helps you put 'em on and take 'em off with ease. Prepare for double-takes in these statement-making high tops.                          Features & Benefits                         Durable canvas upperOrthoLite cushioning helps provide optimal comfortKnee-high coverage brings bold style to your lookAdjustable laces and a zippered closure at the back helps you find the right fitHeel to knee length & back zipper varies by sizeRubber outsole                               Design Elements                         Rubber SoleCanvas UpperLaceZipper Entry,https://www.softmoc.com/ca/i/converse/womens/sneakers-and-athletic/lds-chuck-taylor-all-star-xx-hi-top-sneaker--whitenatural-ivoryblack/a10456cl
4,SALOMON,                                                            Salomon                                                        Sense Ride 5 GTX                            Women                                                    , l47216000,189.99,"The Sense Ride 5 GTX is a versatile waterproof trail shoe from Salomon. The Sense Ride 5 GORE-TEX is in its element on short, fast trail runs or ultra distances. A super comfortable overachiever that adapts to a variety of terrains, with a balanced midsole for cushioning, response and an engineered mesh upper with Sensifit for just the right amount of comfortable hold.                          Features & Benefits                         Lightweight, flexible engineered mesh upper with Sensifit for just the right amount of comfortable holdEnergy foam midsole gives just the right balance of plush cushioning and adapted responseGORE-TEX features an innovative ePE membraneRubber outsole with lugs are 3.5 millimeters in depth                               Design Elements                         WaterproofRubber SoleMesh",https://www.softmoc.com/ca/i/salomon/womens/sneakers-and-athletic/lds-sense-ride-5-gtx-waterproof-performance-sneaker--blackgrey-ashindigo/l47216000
5,CROCS,                                                            Crocs                                                        Bluey Classic                            Women                                                    , 210557-90h,84.99,"Cheese and Croc-ers! The Bluey multi EVA clogs  from Crocs collection has arrived, with these Bluey Classic Clogs. An all-over print provides a backyard playground for oversized Bluey and Bingo Jibbitz charms, as they try to keep the red balloon in the air. Don’t let it touch the ground! Incredibly light and fun to wear.                          Features & Benefits                         Custom-printed upper featuring Bluey’s outdoor world Oversized Jibbitz charms of Bluey, Bingo and a red balloon “Bluey” logo on the back of heel strap Water-friendly and buoyant; weighs only ounces Designed to enhance breathabilityPivoting heel straps for a more secure fit Customizable with additional Jibbitz charms Croslite material                               Design Elements                         Molded Croslite EVEVA MidsolePerforated upperPrinted DesignWater Friendly",https://www.softmoc.com/ca/i/crocs/womens/clogs/lds-classic-bluey-eva-comfort-clog--multi/21055790h
6,FRYE,                                                            Frye                                                        Sacha Mid Pull On                            Women                                                    , fr40624-blac,567.99,"Crafted with supple leather that boasts a lustrous sheen and authentic texture, the Sacha Mid Pull On boot from Frye adds a modern edge to an iconic western silhouette. The mid-calf height provides a perfect fit that flatters any leg shape, while the sleek pointed toe and pitched heel will put you on a path to elevated elegance. Featuring traditional pull tabs for easy on-and-off access, the 180-degree Goodyear welted sole ensures durability and flexibility, making every step feel effortless.                          Features & Benefits                         Premium leather upper180-degree Good year welt constructionMid-Calf heightSleek pointed toe and pitched heelPull-on tabs for easy on/offRubber soleCircumference: 10 inchesShaft Height: 12 inches                               Design Elements                         LeatherRubber SoleWelt",https://www.softmoc.com/ca/i/frye/womens/boots/lds-sacha-mid-pull-on-leather-boot--black/fr40624blac
8,FRYE,                                                            Frye                                                        Kate Harness                            Women                                                    , fr41447-bark,627.99,"Enjoy Frye's adaptation of the beloved Kate Pull On with the Kate Harness boot, featuring the signature Frye harness detail - a nod to the brand's iconic heritage. With its rounded toe and paired with a cushioned footbed and rubber outsole, the versatile 2-inch block heel is easy to walk in, while providing a flattering lift to any look.                          Features & Benefits                         Premium leather upperPadded insole for added comfortSignature Frye harness detailRounded toeRubber outsoleCircumference: 14 inchesShaft Height: 11 inches2-inch block heel                               Design Elements                         LeatherRubber Sole",https://www.softmoc.com/ca/i/frye/womens/boots/lds-kate-harness-leather-riding-boot--bark/fr41447bark
10,FRYE,                                                            Frye                                                        Billy Short                            Women                                                    , fr40738-ltgd,477.99,"A true modern western-styled short boot, the Billy Short light gold ankle boot from Frye features a Goodyear-welted construction with leather outsoles. This pair is crafted from antiqued washed leathers. Designed with pull on tabs for an easier on and off experience.  The Billy Short is perfect for a classic western look.                          Features & Benefits                         Antique washed leather upperGoodyear Welt ConstructionPadded insole for added comfortPull-on tabs for easy on/offLeather outsole                               Design Elements                         LeatherWelt",https://www.softmoc.com/ca/i/frye/womens/boots/lds-billy-short-leather-ankle-bootie--light-gold/fr40738ltgd
11,DR MARTENS,                                                            Dr Martens                                                        Amaayah Hi                            Women                                                    , 31947001,309.99,"The Amaayah Hi black boot from Dr. Marten is a super-tall silhouette with unmissable impact. Built from premium Orleans leather, a hardwearing material with an aged appearance that develops with wear. The square toe boot stands on our elevated Bex Squared sole, secured with yellow welt stitching. Inside zipper for easy on/off.                          Features & Benefits                         Orleans is a lightly textured waxy pull-up leatherElevated edge you can wear every dayGoodyear-welted lines are heat-sealed and reinforced with our signature welt stitchInside zipper for easy on/offThe Bex Squared sole has exaggerated deep cleating and adds a little extra height                               Design Elements                         LeatherContrast StitchingZipper Entry",https://www.softmoc.com/ca/i/dr-martens/womens/boots/lds-amaayah-hi-chelsea-boot--black/31947001
12,COLE HAAN,                                                            Cole Haan                                                        Josie                            Women                                                    , w30836,209.99,Features & Benefits                                                        Design Elements                         LeatherAdjustable StrapsBuckle,https://www.softmoc.com/ca/i/cole-haan/womens/sandals/lds-josie-heeled-dress-sandal--rouge/w30836
