link,name,price
https://www.underarmour.ca/en-ca/p/sportswear/mens_ua_phantom_4_shoes/3027593.html?dwvar_3027593_color=301,Men's UA Phantom 4 Shoes,$150
https://www.underarmour.ca/en-ca/p/sportswear/mens_ua_phantom_4_armour_u_shoes/3027883.html?dwvar_3027883_color=101,Men's UA Phantom 4 Armour U Shoes,$150
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_slipspeed_mega_shoes/3028539.html?dwvar_3028539_color=004,Unisex UA SlipSpeed™ Mega Shoes,$170
https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=400,Men's UA Charged Assert 10 Running Shoes,$95
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_hovr_mega_2_mvmnt_sportstyle_shoes/3026629.html?dwvar_3026629_color=003,Unisex UA HOVR™ Mega 2 MVMNT Sportstyle Shoes,$165
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_apparition_shoes/3027595.html?dwvar_3027595_color=106,Unisex UA Apparition Shoes,$130
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_fat_tire_venture_pro_shoes/3027212.html?dwvar_3027212_color=104,Unisex UA Fat Tire Venture Pro Shoes,$160
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_forge_96_leather_shoes/3027719.html?dwvar_3027719_color=001,Unisex UA Forge 96 Leather Shoes,$150
https://www.underarmour.ca/en-ca/p/running/mens_ua_assert_10_wide_2e_running_shoes/3028816.html?dwvar_3028816_color=002,Men's UA Assert 10 Wide (2E) Running Shoes,$95
https://www.underarmour.ca/en-ca/p/running/mens_ua_infinite_pro_breeze_running_shoes/3027187.html?dwvar_3027187_color=302,Men's UA Infinite Pro Breeze Running Shoes,$175
https://www.underarmour.ca/en-ca/p/golf/mens_curry_1_golf_shoes/3027378.html?dwvar_3027378_color=001,Men's Curry 1 Golf Shoes,$190
https://www.underarmour.ca/en-ca/p/military_and_tactical_boots/mens_ua_micro_g_strikefast_tactical_shoes/3024953.html?dwvar_3024953_color=200,Men's UA Micro G® Strikefast Tactical Shoes,$130
https://www.underarmour.ca/en-ca/p/running/mens_ua_infinite_pro_armour_u_running_shoes/3027756.html?dwvar_3027756_color=001,Men's UA Infinite Pro Armour U Running Shoes,$175
https://www.underarmour.ca/en-ca/p/running/mens_ua_infinite_running_shoes/3027523.html?dwvar_3027523_color=103,Men's UA Infinite Running Shoes,$120
https://www.underarmour.ca/en-ca/p/basketball/unisex_curry_splash_24_suede_basketball_shoes/3028192.html?dwvar_3028192_color=100,Unisex Curry Splash 24 Suede Basketball Shoes,$130
https://www.underarmour.ca/en-ca/p/running/mens_ua_versurge_running_shoes/3028372.html?dwvar_3028372_color=105,Men's UA Versurge Running Shoes,$80
https://www.underarmour.ca/en-ca/p/soccer/unisex_ua_magnetico_select_4_fg_soccer_cleats/3027707.html?dwvar_3027707_color=100,Unisex UA Magnetico Select 4 FG Soccer Cleats,$100
https://www.underarmour.ca/en-ca/p/basketball/unisex_ua_lockdown_7_basketball_shoes/3028512.html?dwvar_3028512_color=100,Unisex UA Lockdown 7 Basketball Shoes,$90
https://www.underarmour.ca/en-ca/p/basketball/unisex_ua_futr_x_4_camo_basketball_shoes/3027772.html?dwvar_3027772_color=001,Unisex UA FUTR X 4 Camo Basketball Shoes,$165
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_apparition_iridescent_shoes/3028123.html?dwvar_3028123_color=100,Unisex UA Apparition Iridescent Shoes,$150
https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_fat_tire_venture_pro_vc_shoes/3027676.html?dwvar_3027676_color=100,Unisex UA Fat Tire Venture Pro VC Shoes,$170
https://www.underarmour.ca/en-ca/p/training/mens_ua_charged_edge_training_shoes/3026727.html?dwvar_3026727_color=004,Men's UA Charged Edge Training Shoes,$90
https://www.underarmour.ca/en-ca/p/running/mens_ua_infinite_elite_running_shoes/3027189.html?dwvar_3027189_color=006,Men's UA Infinite Elite Running Shoes,$200
https://www.underarmour.ca/en-ca/p/training/mens_ua_reign_6_training_shoes/3027341.html?dwvar_3027341_color=101,Men's UA Reign 6 Training Shoes,$165
