name,price,description,link
Men's UA Phantom 4 Shoes,150,"With the comfort and durability of a technical performance shoe plus the clean look and feel of a street sneaker, UA Phantom 4 is the ultimate outfit finisher., Molded, soft & structured material for comfort inside & out,Knit collar for a sock-like fit & feel & exceptional step-in comfort,Sleek TPU heel counter & heel pull for easy on/off,Plush, molded sockliner for enhanced comfort,Extra-springy UA HOVR™+ cushioning reduces impact, returns energy & helps propel you forward,Rubber outsole for added traction & durability,Regular,Style #: 3027593,Removable sockliner:,Weight: 11.146 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/mens_ua_phantom_4_shoes/3027593.html?dwvar_3027593_color=301
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=101
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=400
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=004
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=100
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=108
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=401
Men's UA Charged Assert 10 Running Shoes,74.97 - 95,"These are running shoes anyone can wear to go faster—with Charged Cushioning® to help protect against impact, a breathable upper, and durability for miles., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,Charged Cushioning® midsole uses compression molded foam for ultimate responsiveness & durability,Solid rubber outsole covers high impact zones for greater durability with less weight,Upper contains at least 20% recycled content,Regular,Style #: 3026175,Offset: 10mm,Weight: 9.5 oz.,Lace type: Standard tie,Imported,NEUTRAL: For runners who need flexibility, cushioning & versatility",https://www.underarmour.ca/en-ca/p/running/mens_ua_charged_assert_10_running_shoes/3026175.html?dwvar_3026175_color=003
Unisex UA SlipSpeed™ Mega Shoes,170,"The most versatile shoes we've ever made with a supersized midsole for mega energy. They feel great, cushion better, fit perfectly, handle your toughest runs, AND have a heel that converts easily from slip mode to speed mode., SUPERSIZED UA FLOW CUSHIONING: Unmatched comfort, ground contact & traction,BREATHABLE UPPER: Durable ripstop material with engineered venting,BOA FIT SYSTEM: A personalized fit, one click at a time, with a 12-point lockdown system,ISO-CHILL PADDED INTERIOR: Heel to toe interior foam padding with cool-to-the-touch Iso-Chill technology,MACHINE WASHABLE: We made it easy—put them in the wash to keep them fresh & clean*,CONVERTIBLE HEEL: Go from run mode to recover mode,*Laundry bag not included,Regular,Style #: 3028539,Lace type: BOA™,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_slipspeed_mega_shoes/3028539.html?dwvar_3028539_color=114
Unisex UA SlipSpeed™ Mega Shoes,170,"The most versatile shoes we've ever made with a supersized midsole for mega energy. They feel great, cushion better, fit perfectly, handle your toughest runs, AND have a heel that converts easily from slip mode to speed mode., SUPERSIZED UA FLOW CUSHIONING: Unmatched comfort, ground contact & traction,BREATHABLE UPPER: Durable ripstop material with engineered venting,BOA FIT SYSTEM: A personalized fit, one click at a time, with a 12-point lockdown system,ISO-CHILL PADDED INTERIOR: Heel to toe interior foam padding with cool-to-the-touch Iso-Chill technology,MACHINE WASHABLE: We made it easy—put them in the wash to keep them fresh & clean*,CONVERTIBLE HEEL: Go from run mode to recover mode,*Laundry bag not included,Regular,Style #: 3028539,Lace type: BOA™,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_slipspeed_mega_shoes/3028539.html?dwvar_3028539_color=109
